,source,target,value
0,Gia Allemand,Jake Pavelka,1
1,Gia Allemand,Michelle Kujawa,1
2,Gia Allemand,Tenley Molzahn,1
3,Jake Pavelka,Michelle Kujawa,1
4,Jake Pavelka,Tenley Molzahn,1
5,Michelle Kujawa,Tenley Molzahn,1
6,Brad Womack,Michelle Money,1
7,Ben Flajnik,Jaclyn Swartz,1
8,Clare Crawley,Juan Pablo Galavis,1
9,Amber James,Chris Soules,1
10,Deanna Pappas,Graham Bunn,1
11,Jake Pavelka,Jesse Kovacs,1
12,Jake Pavelka,Jillian Harris,1
13,Jake Pavelka,Michael Stagliano,1
14,Jesse Kovacs,Jillian Harris,1
15,Jesse Kovacs,Michael Stagliano,1
16,Jillian Harris,Michael Stagliano,1
17,Ali Fedotowsky,Kirk DeWindt,1
18,Ashley Hebert,Nick Peterson,1
19,Chris Bukowski,Emily Maynard,1
20,Chris Bukowski,Kalon McMahon,1
21,Emily Maynard,Kalon McMahon,1
22,Kaitlyn Bristowe,Nick Viall,1
23,Ashley Elmore,Craig McKinnon,1
24,Ashley Elmore,David Good,1
25,Ashley Elmore,Elizabeth Kitt (NE),1
26,Ashley Elmore,Gia Allemand,1
27,Ashley Elmore,Gwen Gioia,1
28,Ashley Elmore,Jesse Beck,1
29,Ashley Elmore,Jesse Kovacs,1
30,Ashley Elmore,Jessie Sulidis,1
31,Ashley Elmore,Jonathan Novack,1
32,Ashley Elmore,Juan Barbieri,1
33,Ashley Elmore,Kiptyn Locke,1
34,Ashley Elmore,Krisily Kennedy,1
35,Ashley Elmore,Michelle Kujawa,1
36,Ashley Elmore,Natalie Getz,1
37,Ashley Elmore,"Nicole ""Nikki"" Kaapke",1
38,Ashley Elmore,Peyton Wright,1
39,Ashley Elmore,Tenley Molzahn,1
40,Ashley Elmore,Wes Hayden,1
41,Craig McKinnon,David Good,1
42,Craig McKinnon,Elizabeth Kitt (NE),1
43,Craig McKinnon,Gia Allemand,1
44,Craig McKinnon,Gwen Gioia,1
45,Craig McKinnon,Jesse Beck,1
46,Craig McKinnon,Jesse Kovacs,1
47,Craig McKinnon,Jessie Sulidis,1
48,Craig McKinnon,Jonathan Novack,1
49,Craig McKinnon,Juan Barbieri,1
50,Craig McKinnon,Kiptyn Locke,1
51,Craig McKinnon,Krisily Kennedy,1
52,Craig McKinnon,Michelle Kujawa,1
53,Craig McKinnon,Natalie Getz,1
54,Craig McKinnon,"Nicole ""Nikki"" Kaapke",1
55,Craig McKinnon,Peyton Wright,1
56,Craig McKinnon,Tenley Molzahn,1
57,Craig McKinnon,Wes Hayden,1
58,David Good,Elizabeth Kitt (NE),1
59,David Good,Gia Allemand,1
60,David Good,Gwen Gioia,1
61,David Good,Jesse Beck,1
62,David Good,Jesse Kovacs,1
63,David Good,Jessie Sulidis,1
64,David Good,Jonathan Novack,1
65,David Good,Juan Barbieri,1
66,David Good,Kiptyn Locke,1
67,David Good,Krisily Kennedy,1
68,David Good,Michelle Kujawa,1
69,David Good,Natalie Getz,1
70,David Good,"Nicole ""Nikki"" Kaapke",1
71,David Good,Peyton Wright,1
72,David Good,Tenley Molzahn,1
73,David Good,Wes Hayden,1
74,Elizabeth Kitt (NE),Gia Allemand,1
75,Elizabeth Kitt (NE),Gwen Gioia,1
76,Elizabeth Kitt (NE),Jesse Beck,1
77,Elizabeth Kitt (NE),Jesse Kovacs,1
78,Elizabeth Kitt (NE),Jessie Sulidis,1
79,Elizabeth Kitt (NE),Jonathan Novack,1
80,Elizabeth Kitt (NE),Juan Barbieri,1
81,Elizabeth Kitt (NE),Kiptyn Locke,1
82,Elizabeth Kitt (NE),Krisily Kennedy,1
83,Elizabeth Kitt (NE),Michelle Kujawa,1
84,Elizabeth Kitt (NE),Natalie Getz,1
85,Elizabeth Kitt (NE),"Nicole ""Nikki"" Kaapke",1
86,Elizabeth Kitt (NE),Peyton Wright,1
87,Elizabeth Kitt (NE),Tenley Molzahn,1
88,Elizabeth Kitt (NE),Wes Hayden,1
89,Gia Allemand,Gwen Gioia,1
90,Gia Allemand,Jesse Beck,1
91,Gia Allemand,Jesse Kovacs,1
92,Gia Allemand,Jessie Sulidis,1
93,Gia Allemand,Jonathan Novack,1
94,Gia Allemand,Juan Barbieri,1
95,Gia Allemand,Kiptyn Locke,1
96,Gia Allemand,Krisily Kennedy,1
97,Gia Allemand,Michelle Kujawa,1
98,Gia Allemand,Natalie Getz,1
99,Gia Allemand,"Nicole ""Nikki"" Kaapke",1
100,Gia Allemand,Peyton Wright,1
101,Gia Allemand,Tenley Molzahn,1
102,Gia Allemand,Wes Hayden,1
103,Gwen Gioia,Jesse Beck,1
104,Gwen Gioia,Jesse Kovacs,1
105,Gwen Gioia,Jessie Sulidis,1
106,Gwen Gioia,Jonathan Novack,1
107,Gwen Gioia,Juan Barbieri,1
108,Gwen Gioia,Kiptyn Locke,1
109,Gwen Gioia,Krisily Kennedy,1
110,Gwen Gioia,Michelle Kujawa,1
111,Gwen Gioia,Natalie Getz,1
112,Gwen Gioia,"Nicole ""Nikki"" Kaapke",1
113,Gwen Gioia,Peyton Wright,1
114,Gwen Gioia,Tenley Molzahn,1
115,Gwen Gioia,Wes Hayden,1
116,Jesse Beck,Jesse Kovacs,1
117,Jesse Beck,Jessie Sulidis,1
118,Jesse Beck,Jonathan Novack,1
119,Jesse Beck,Juan Barbieri,1
120,Jesse Beck,Kiptyn Locke,1
121,Jesse Beck,Krisily Kennedy,1
122,Jesse Beck,Michelle Kujawa,1
123,Jesse Beck,Natalie Getz,1
124,Jesse Beck,"Nicole ""Nikki"" Kaapke",1
125,Jesse Beck,Peyton Wright,1
126,Jesse Beck,Tenley Molzahn,1
127,Jesse Beck,Wes Hayden,1
128,Jesse Kovacs,Jessie Sulidis,1
129,Jesse Kovacs,Jonathan Novack,1
130,Jesse Kovacs,Juan Barbieri,1
131,Jesse Kovacs,Kiptyn Locke,1
132,Jesse Kovacs,Krisily Kennedy,1
133,Jesse Kovacs,Michelle Kujawa,1
134,Jesse Kovacs,Natalie Getz,1
135,Jesse Kovacs,"Nicole ""Nikki"" Kaapke",1
136,Jesse Kovacs,Peyton Wright,1
137,Jesse Kovacs,Tenley Molzahn,1
138,Jesse Kovacs,Wes Hayden,1
139,Jessie Sulidis,Jonathan Novack,1
140,Jessie Sulidis,Juan Barbieri,1
141,Jessie Sulidis,Kiptyn Locke,1
142,Jessie Sulidis,Krisily Kennedy,1
143,Jessie Sulidis,Michelle Kujawa,1
144,Jessie Sulidis,Natalie Getz,1
145,Jessie Sulidis,"Nicole ""Nikki"" Kaapke",1
146,Jessie Sulidis,Peyton Wright,1
147,Jessie Sulidis,Tenley Molzahn,1
148,Jessie Sulidis,Wes Hayden,1
149,Jonathan Novack,Juan Barbieri,1
150,Jonathan Novack,Kiptyn Locke,1
151,Jonathan Novack,Krisily Kennedy,1
152,Jonathan Novack,Michelle Kujawa,1
153,Jonathan Novack,Natalie Getz,1
154,Jonathan Novack,"Nicole ""Nikki"" Kaapke",1
155,Jonathan Novack,Peyton Wright,1
156,Jonathan Novack,Tenley Molzahn,1
157,Jonathan Novack,Wes Hayden,1
158,Juan Barbieri,Kiptyn Locke,1
159,Juan Barbieri,Krisily Kennedy,1
160,Juan Barbieri,Michelle Kujawa,1
161,Juan Barbieri,Natalie Getz,1
162,Juan Barbieri,"Nicole ""Nikki"" Kaapke",1
163,Juan Barbieri,Peyton Wright,1
164,Juan Barbieri,Tenley Molzahn,1
165,Juan Barbieri,Wes Hayden,1
166,Kiptyn Locke,Krisily Kennedy,1
167,Kiptyn Locke,Michelle Kujawa,1
168,Kiptyn Locke,Natalie Getz,1
169,Kiptyn Locke,"Nicole ""Nikki"" Kaapke",1
170,Kiptyn Locke,Peyton Wright,1
171,Kiptyn Locke,Tenley Molzahn,1
172,Kiptyn Locke,Wes Hayden,1
173,Krisily Kennedy,Michelle Kujawa,1
174,Krisily Kennedy,Natalie Getz,1
175,Krisily Kennedy,"Nicole ""Nikki"" Kaapke",1
176,Krisily Kennedy,Peyton Wright,1
177,Krisily Kennedy,Tenley Molzahn,1
178,Krisily Kennedy,Wes Hayden,1
179,Michelle Kujawa,Natalie Getz,1
180,Michelle Kujawa,"Nicole ""Nikki"" Kaapke",1
181,Michelle Kujawa,Peyton Wright,1
182,Michelle Kujawa,Tenley Molzahn,1
183,Michelle Kujawa,Wes Hayden,1
184,Natalie Getz,"Nicole ""Nikki"" Kaapke",1
185,Natalie Getz,Peyton Wright,1
186,Natalie Getz,Tenley Molzahn,1
187,Natalie Getz,Wes Hayden,1
188,"Nicole ""Nikki"" Kaapke",Peyton Wright,1
189,"Nicole ""Nikki"" Kaapke",Tenley Molzahn,1
190,"Nicole ""Nikki"" Kaapke",Wes Hayden,1
191,Peyton Wright,Tenley Molzahn,1
192,Peyton Wright,Wes Hayden,1
193,Tenley Molzahn,Wes Hayden,1
194,Alli Travis,Ames Brown,1
195,Alli Travis,Blake Julian,1
196,Alli Travis,Ella Nolan,1
197,Alli Travis,Erica Rose,1
198,Alli Travis,Gia Allemand,1
199,Alli Travis,Graham Bunn,1
200,Alli Travis,Holly Durst,1
201,Alli Travis,Jackie Gordon,1
202,Alli Travis,Jake Pavelka,1
203,Alli Travis,Justin Rego,1
204,Alli Travis,Kasey Kahl,1
205,Alli Travis,Kirk DeWindt,1
206,Alli Travis,Melissa Schreiber,1
207,Alli Travis,Michael Stagliano,1
208,Alli Travis,Michelle Money,1
209,Alli Travis,Vienna Girardi,1
210,Alli Travis,William Holman,1
211,Ames Brown,Blake Julian,1
212,Ames Brown,Ella Nolan,1
213,Ames Brown,Erica Rose,1
214,Ames Brown,Gia Allemand,1
215,Ames Brown,Graham Bunn,1
216,Ames Brown,Holly Durst,1
217,Ames Brown,Jackie Gordon,1
218,Ames Brown,Jake Pavelka,1
219,Ames Brown,Justin Rego,1
220,Ames Brown,Kasey Kahl,1
221,Ames Brown,Kirk DeWindt,1
222,Ames Brown,Melissa Schreiber,1
223,Ames Brown,Michael Stagliano,1
224,Ames Brown,Michelle Money,1
225,Ames Brown,Vienna Girardi,1
226,Ames Brown,William Holman,1
227,Blake Julian,Ella Nolan,1
228,Blake Julian,Erica Rose,1
229,Blake Julian,Gia Allemand,1
230,Blake Julian,Graham Bunn,1
231,Blake Julian,Holly Durst,1
232,Blake Julian,Jackie Gordon,1
233,Blake Julian,Jake Pavelka,1
234,Blake Julian,Justin Rego,1
235,Blake Julian,Kasey Kahl,1
236,Blake Julian,Kirk DeWindt,1
237,Blake Julian,Melissa Schreiber,1
238,Blake Julian,Michael Stagliano,1
239,Blake Julian,Michelle Money,1
240,Blake Julian,Vienna Girardi,1
241,Blake Julian,William Holman,1
242,Ella Nolan,Erica Rose,1
243,Ella Nolan,Gia Allemand,1
244,Ella Nolan,Graham Bunn,1
245,Ella Nolan,Holly Durst,1
246,Ella Nolan,Jackie Gordon,1
247,Ella Nolan,Jake Pavelka,1
248,Ella Nolan,Justin Rego,1
249,Ella Nolan,Kasey Kahl,1
250,Ella Nolan,Kirk DeWindt,1
251,Ella Nolan,Melissa Schreiber,1
252,Ella Nolan,Michael Stagliano,1
253,Ella Nolan,Michelle Money,1
254,Ella Nolan,Vienna Girardi,1
255,Ella Nolan,William Holman,1
256,Erica Rose,Gia Allemand,1
257,Erica Rose,Graham Bunn,1
258,Erica Rose,Holly Durst,1
259,Erica Rose,Jackie Gordon,1
260,Erica Rose,Jake Pavelka,1
261,Erica Rose,Justin Rego,1
262,Erica Rose,Kasey Kahl,1
263,Erica Rose,Kirk DeWindt,1
264,Erica Rose,Melissa Schreiber,1
265,Erica Rose,Michael Stagliano,1
266,Erica Rose,Michelle Money,1
267,Erica Rose,Vienna Girardi,1
268,Erica Rose,William Holman,1
269,Gia Allemand,Graham Bunn,1
270,Gia Allemand,Holly Durst,1
271,Gia Allemand,Jackie Gordon,1
272,Gia Allemand,Jake Pavelka,1
273,Gia Allemand,Justin Rego,1
274,Gia Allemand,Kasey Kahl,1
275,Gia Allemand,Kirk DeWindt,1
276,Gia Allemand,Melissa Schreiber,1
277,Gia Allemand,Michael Stagliano,1
278,Gia Allemand,Michelle Money,1
279,Gia Allemand,Vienna Girardi,1
280,Gia Allemand,William Holman,1
281,Graham Bunn,Holly Durst,1
282,Graham Bunn,Jackie Gordon,1
283,Graham Bunn,Jake Pavelka,1
284,Graham Bunn,Justin Rego,1
285,Graham Bunn,Kasey Kahl,1
286,Graham Bunn,Kirk DeWindt,1
287,Graham Bunn,Melissa Schreiber,1
288,Graham Bunn,Michael Stagliano,1
289,Graham Bunn,Michelle Money,1
290,Graham Bunn,Vienna Girardi,1
291,Graham Bunn,William Holman,1
292,Holly Durst,Jackie Gordon,1
293,Holly Durst,Jake Pavelka,1
294,Holly Durst,Justin Rego,1
295,Holly Durst,Kasey Kahl,1
296,Holly Durst,Kirk DeWindt,1
297,Holly Durst,Melissa Schreiber,1
298,Holly Durst,Michael Stagliano,1
299,Holly Durst,Michelle Money,1
300,Holly Durst,Vienna Girardi,1
301,Holly Durst,William Holman,1
