source,target,value
Agnese Polliza,Andrea Shirley,1
Agnese Polliza,April Jacobs,1
Agnese Polliza,Brit Keeder,1
Agnese Polliza,Carissa Ilburg,1
Agnese Polliza,Claudia Gismondi,1
Agnese Polliza,Cosetta Blanca,1
Agnese Polliza,Desiree Valentin,1
Agnese Polliza,Ellen DeMaio,1
Agnese Polliza,Elyse Greenebaum,1
Agnese Polliza,Erica Rose,1
Agnese Polliza,Gina Clark,1
Agnese Polliza,Heather Sneed,1
Agnese Polliza,Jami Matzke,1
Agnese Polliza,Jeanette Pawula,1
Agnese Polliza,Jennifer Wilson,1
Agnese Polliza,Jessica Horner,1
Agnese Polliza,Kim Jackson,1
Agnese Polliza,Laura Morgan,1
Agnese Polliza,Lisa Blank,1
Agnese Polliza,Meri Barr,1
Agnese Polliza,Renee Snell,1
Agnese Polliza,Rita Ghazal,1
Agnese Polliza,Rosella Fratto,1
Agnese Polliza,Sadie Murray,1
Agnese Polliza,Sarah Schnare,1
Agnese Polliza,Tara Durr,1
Andrea Shirley,April Jacobs,1
Andrea Shirley,Brit Keeder,1
Andrea Shirley,Carissa Ilburg,1
Andrea Shirley,Claudia Gismondi,1
Andrea Shirley,Cosetta Blanca,1
Andrea Shirley,Desiree Valentin,1
Andrea Shirley,Ellen DeMaio,1
Andrea Shirley,Elyse Greenebaum,1
Andrea Shirley,Erica Rose,1
Andrea Shirley,Gina Clark,1
Andrea Shirley,Heather Sneed,1
Andrea Shirley,Jami Matzke,1
Andrea Shirley,Jeanette Pawula,1
Andrea Shirley,Jennifer Wilson,1
Andrea Shirley,Jessica Horner,1
Andrea Shirley,Kim Jackson,1
Andrea Shirley,Laura Morgan,1
Andrea Shirley,Lisa Blank,1
Andrea Shirley,Meri Barr,1
Andrea Shirley,Renee Snell,1
Andrea Shirley,Rita Ghazal,1
Andrea Shirley,Rosella Fratto,1
Andrea Shirley,Sadie Murray,1
Andrea Shirley,Sarah Schnare,1
Andrea Shirley,Tara Durr,1
April Jacobs,Brit Keeder,1
April Jacobs,Carissa Ilburg,1
April Jacobs,Claudia Gismondi,1
April Jacobs,Cosetta Blanca,1
April Jacobs,Desiree Valentin,1
April Jacobs,Ellen DeMaio,1
April Jacobs,Elyse Greenebaum,1
April Jacobs,Erica Rose,1
April Jacobs,Gina Clark,1
April Jacobs,Heather Sneed,1
April Jacobs,Jami Matzke,1
April Jacobs,Jeanette Pawula,1
April Jacobs,Jennifer Wilson,1
April Jacobs,Jessica Horner,1
April Jacobs,Kim Jackson,1
